식품명,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),칼륨(mg),칼슘(mg),철(mg),비타민 A(μg RAE),비타민 C(mg),비타민 D(μg),포화지방산(g),콜레스테롤(mg)
갈비찜_소고기,85,81.2,7.25,3.17,6.95,0.75,272.0,251.0,33.0,1.07,23.0,0.42,0.0,0.85,33.38
감자_찐감자,70,81.6,2.16,0.16,15.01,0.86,3.0,480.0,10.0,0.33,0.0,8.1,0.0,0.03,0.0
깻잎찜,97,79.7,5.21,5.86,5.96,1.33,792.0,565.0,260.0,1.7,397.0,0.93,0.0,0.46,0.0
꼬막찜,96,76.0,12.03,2.28,6.97,1.03,736.0,221.0,73.0,8.53,11.0,14.05,0.0,0.59,38.3
꽈리고추찜,104,75.2,3.59,2.09,17.69,0.44,316.0,239.0,27.0,0.64,30.0,32.52,0.0,0.37,0.0
달걀찜_새우젓,58,89.7,4.98,4.04,0.47,0.0,247.0,56.0,25.0,0.77,25.0,0.21,0.0,1.22,189.26
감자탕,71,86.2,6.31,4.06,2.27,0.0,328.0,98.0,38.0,1.06,33.0,2.35,0.0,1.16,38.53
김치전골,73,85.5,3.12,4.23,5.68,0.79,299.0,202.0,21.0,0.65,5.0,0.33,0.0,0.67,7.43
김치찌개_꽁치,89,83.0,7.14,5.18,3.54,0.7,249.0,227.0,50.0,0.46,19.0,0.0,1.61,0.93,24.25
김치찌개_돼지고기,45,91.1,4.25,2.71,1.04,0.05,207.0,149.0,12.0,0.49,2.0,0.0,0.0,0.48,7.11
김치찌개_어묵,38,90.1,1.82,0.59,6.31,1.6,256.0,153.0,20.0,0.25,11.0,0.02,0.0,0.15,2.51
김치찌개_참치,51,89.4,3.59,2.82,2.9,0.15,264.0,219.0,17.0,0.39,5.0,0.89,0.0,0.26,6.54
김치찌개_햄,31,92.5,1.47,1.39,3.17,0.04,445.0,105.0,12.0,0.08,2.0,1.05,0.0,0.45,4.39
꽃게탕,17,95.5,1.86,0.41,1.44,0.95,273.0,99.0,23.0,0.44,1.0,4.56,0.0,0.04,2.61
낙지전골,51,87.0,6.5,1.14,3.72,0.0,484.0,165.0,10.0,0.65,4.0,0.85,0.0,0.33,51.44
동태국,17,95.2,2.42,0.16,1.4,0.0,224.0,107.0,15.0,0.14,1.0,0.44,0.0,0.02,11.46
동태찌개,44,89.6,6.11,1.37,1.72,0.13,273.0,174.0,33.0,0.46,3.0,0.0,0.0,0.2,26.68
돼지고기찌개,48,88.9,6.25,1.51,2.26,0.13,255.0,156.0,16.0,0.43,3.0,0.0,0.0,0.21,10.95
된장찌개,46,89.3,3.38,1.63,4.44,0.0,318.0,151.0,21.0,0.7,5.0,0.0,0.0,0.27,0.0
된장찌개_냉이,19,94.9,1.17,0.31,2.91,0.55,174.0,110.0,28.0,0.79,11.0,0.0,0.0,0.04,0.0
된장찌개_달래,35,90.3,3.18,0.79,3.81,0.41,570.0,216.0,22.0,0.85,4.0,27.13,0.0,0.18,2.21
된장찌개_두부,41,90.7,3.25,1.96,2.56,0.99,478.0,179.0,22.0,0.74,0.0,0.0,0.0,0.28,0.0
된장찌개_바지락,23,93.8,2.88,0.72,1.18,0.56,406.0,138.0,11.0,0.25,3.0,0.47,0.0,0.17,3.81
두부찌개_고추장,52,89.1,4.01,2.63,3.18,0.8,181.0,222.0,23.0,0.62,7.0,0.65,0.0,0.35,0.34
두부찌개_소고기_고추장,58,86.3,4.56,1.42,6.73,0.17,195.0,165.0,12.0,0.71,12.0,0.0,0.0,0.28,6.43
두부찌개_소고기_된장,55,87.7,5.71,1.98,3.5,0.72,297.0,123.0,28.0,0.75,6.0,0.4,0.0,0.41,5.98
매운탕_대구,22,93.9,4.49,0.4,0.19,0.0,250.0,104.0,51.0,0.17,3.0,2.0,0.0,0.15,19.2
매운탕_해물,35,90.7,4.85,0.64,2.51,0.45,368.0,140.0,25.0,0.43,16.0,11.86,0.0,0.18,47.65
미역국_대합,11,96.0,1.23,0.45,0.56,0.01,232.0,365.0,37.0,5.17,2.0,0.52,0.0,0.16,3.59
미역국_새우,16,96.5,1.09,0.46,1.83,0.0,5.0,19.0,9.0,0.39,2.0,1.05,0.0,0.03,11.31
미역국_소고기,13,96.5,1.86,0.26,0.82,0.52,196.0,36.0,18.0,0.43,3.0,0.0,0.0,0.04,4.24
배추국_소고기,16,95.7,1.84,0.41,1.14,0.0,248.0,84.0,14.0,0.21,1.0,0.0,0.0,0.09,5.58
북어국,28,93.5,3.89,0.98,0.84,0.12,232.0,111.0,15.0,0.25,2.0,0.23,0.0,0.17,21.61
사골국,55,88.9,5.56,2.42,2.81,0.0,75.0,46.0,4.0,0.52,2.0,0.07,0.0,0.94,19.12
삼계탕,101,80.0,10.68,4.8,3.84,0.45,82.0,156.0,14.0,0.43,8.0,0.0,0.0,1.29,48.19
새우탕,33,91.1,5.17,0.44,2.0,0.06,268.0,186.0,30.0,0.47,7.0,2.12,0.0,0.09,32.73
설렁탕,24,94.7,4.26,0.58,0.36,0.0,22.0,23.0,7.0,0.28,0.0,2.51,0.0,0.23,6.97
순대국,85,79.9,2.35,1.75,14.95,0.26,330.0,65.0,15.0,1.31,11.0,7.57,0.0,0.5,9.67
어묵국(어묵탕),31,92.8,1.49,1.03,3.83,0.07,226.0,110.0,19.0,0.19,3.0,0.0,0.0,0.07,2.45
오징어국,18,95.4,2.22,0.73,0.73,0.24,257.0,82.0,5.0,0.05,2.0,0.0,0.0,0.08,31.88
육개장,30,93.0,3.68,0.99,1.49,0.76,201.0,121.0,17.0,0.56,2.0,0.0,0.0,0.17,10.86
육개장_닭고기,20,94.7,2.74,0.42,1.41,0.57,167.0,106.0,16.0,0.19,1.0,0.1,0.0,0.15,9.55
장어탕,67,86.8,4.32,3.91,3.68,2.66,387.0,146.0,32.0,0.38,66.0,0.66,0.0,0.63,33.75
재첩국,23,94.0,0.67,0.29,4.54,0.0,126.0,22.0,20.0,0.72,1.0,0.18,0.0,0.01,4.27
조개국,16,96.3,1.67,0.89,0.25,0.18,297.0,43.0,7.0,1.3,1.0,3.19,0.0,0.05,4.01
콩나물국,6,97.9,0.74,0.09,0.61,0.16,219.0,37.0,9.0,0.08,1.0,0.22,0.0,0.03,0.73
토란국,16,95.6,1.0,0.12,2.61,0.27,190.0,109.0,8.0,0.08,0.0,0.35,0.0,0.04,1.12
해장국_뼈다귀,26,93.7,3.19,0.97,1.06,0.63,346.0,78.0,10.0,2.03,3.0,0.17,0.0,0.21,9.45
해장국_선지,29,93.0,3.86,0.96,1.23,0.0,312.0,30.0,23.0,6.83,15.0,2.48,0.0,0.13,29.05
갈치찌개,38,91.0,5.27,1.0,1.95,0.98,91.0,177.0,10.0,0.23,11.0,2.52,0.0,0.3,15.04
달걀국,13,97.0,0.93,0.74,0.69,0.0,246.0,19.0,5.0,0.2,0.0,0.0,0.0,0.27,31.11
달걀탕_순두부,29,94.7,1.78,2.04,0.94,0.0,101.0,108.0,13.0,0.37,13.0,0.47,0.0,0.37,34.05
닭곰탕,51,88.2,7.51,1.42,2.0,0.3,170.0,156.0,9.0,0.29,2.0,0.04,0.0,0.3,36.02
도가니탕,40,90.0,8.35,0.33,0.82,0.0,150.0,29.0,8.0,1.89,0.0,3.19,0.0,0.13,18.34
된장국_감자,25,93.4,1.09,0.6,3.7,0.77,357.0,132.0,18.0,0.52,0.0,0.0,0.0,0.05,0.0
된장국_냉이,22,94.6,1.71,0.66,2.2,0.3,236.0,100.0,32.0,0.75,15.0,0.0,0.0,0.09,0.0
된장국_미역,24,94.1,1.56,0.97,2.28,0.61,305.0,137.0,20.0,0.89,2.0,0.36,0.0,0.07,0.0
된장국_배추,20,94.7,1.46,0.4,2.58,0.0,223.0,95.0,12.0,0.25,1.0,0.0,0.0,0.06,3.07
